rubriques_poste;libelle;num_compte;date_acquisition;taux;valeur_acquisition;augmentation;diminution;amort_anterieur;dotation_exercice
IMMO_CORP;;;;;;;;;
GOODWILL;;;;;;;;;
IMMO_INCORP;;;;;;;;;
IMMO_FIN;;;;;;;;;
IMMO_ENCOURS;;;;;;;;;
