rubriques_poste;num_compte;libelle;valeur_acquisition;augmentation;diminution
AUTRESACTIF;;;;;
IMMOCORP;;;;;
IMMOENCOUR;;;;;
IMMOINCORP;;;;;
IMMOFIN;;;;;
PART;;;;;
